"","Ensembl_ID","Symbol","Biotype"
"1","ENSG00000243485","RP11-34P13.3","lincRNA"
"2","ENSG00000237613","FAM138A","lincRNA"
"3","ENSG00000238009","RP11-34P13.7","lincRNA"
"4","ENSG00000239945","RP11-34P13.8","lincRNA"
"5","ENSG00000239906","RP11-34P13.14","antisense"
"6","ENSG00000241860","RP11-34P13.13","processed_transcript"
"7","ENSG00000241599","RP11-34P13.9","lincRNA"
"8","ENSG00000236601","RP4-669L17.2","lincRNA"
"9","ENSG00000235146","RP5-857K21.2","lincRNA"
"10","ENSG00000229905","RP11-206L10.4","antisense"
"11","ENSG00000237491","RP11-206L10.9","lincRNA"
"12","ENSG00000177757","FAM87B","lincRNA"
"13","ENSG00000228794","RP11-206L10.11","processed_transcript"
"14","ENSG00000225880","NCRNA00115","lincRNA"
"15","ENSG00000230368","FAM41C","lincRNA"
"16","ENSG00000272438","RP11-54O7.16","lincRNA"
"17","ENSG00000230699","RP11-54O7.1","lincRNA"
"18","ENSG00000241180","RP11-54O7.2","lincRNA"
"19","ENSG00000223764","RP11-54O7.3","lincRNA"
"20","ENSG00000272512","RP11-54O7.17","lincRNA"
"21","ENSG00000224969","RP11-54O7.11","antisense"
"22","ENSG00000242590","RP11-54O7.14","sense_intronic"
"23","ENSG00000273443","RP11-54O7.18","lincRNA"
"24","ENSG00000223823","RP11-465B22.5","lincRNA"
"25","ENSG00000272141","RP11-465B22.8","lincRNA"
"26","ENSG00000205231","RP11-465B22.6","antisense"
"27","ENSG00000260179","RP5-902P8.12","lincRNA"
"28","ENSG00000230415","RP5-902P8.10","lincRNA"
"29","ENSG00000240731","RP5-890O3.9","sense_intronic"
"30","ENSG00000224870","RP4-758J18.2","processed_transcript"
"31","ENSG00000272455","RP4-758J18.13","lincRNA"
"32","ENSG00000225905","RP4-758J18.7","antisense"
"33","ENSG00000225285","RP4-758J18.10","lincRNA"
"34","ENSG00000215014","RP5-832C2.5","lincRNA"
"35","ENSG00000272106","RP11-345P4.9","antisense"
"36","ENSG00000272004","RP11-345P4.10","antisense"
"37","ENSG00000268575","RP1-283E3.8","processed_transcript"
"38","ENSG00000231050","RP1-140A9.1","antisense"
"39","ENSG00000233542","RP11-547D24.1","antisense"
"40","ENSG00000226969","RP11-547D24.3","antisense"
"41","ENSG00000271806","RP5-892K4.1","antisense"
"42","ENSG00000182873","RP11-181G12.2","antisense"
"43","ENSG00000234396","RP11-181G12.4","lincRNA"
"44","ENSG00000272161","RP4-713A8.1","sense_intronic"
