"","Ensembl_ID","Symbol","Biotype"
"9","ENSG00000186092","OR4F5","protein_coding"
"27","ENSG00000284733","OR4F29","protein_coding"
"42","ENSG00000284662","OR4F16","protein_coding"
"60","ENSG00000187634","SAMD11","protein_coding"
"61","ENSG00000188976","NOC2L","protein_coding"
"62","ENSG00000187961","KLHL17","protein_coding"
"63","ENSG00000187583","PLEKHN1","protein_coding"
"64","ENSG00000187642","PERM1","protein_coding"
"66","ENSG00000188290","HES4","protein_coding"
"67","ENSG00000187608","ISG15","protein_coding"
"70","ENSG00000188157","AGRN","protein_coding"
"74","ENSG00000237330","RNF223","protein_coding"
"75","ENSG00000131591","C1orf159","protein_coding"
"82","ENSG00000162571","TTLL10","protein_coding"
"83","ENSG00000186891","TNFRSF18","protein_coding"
"84","ENSG00000186827","TNFRSF4","protein_coding"
"85","ENSG00000078808","SDF4","protein_coding"
"86","ENSG00000176022","B3GALT6","protein_coding"
"87","ENSG00000184163","C1QTNF12","protein_coding"
"89","ENSG00000160087","UBE2J2","protein_coding"
"91","ENSG00000162572","SCNN1D","protein_coding"
"92","ENSG00000131584","ACAP3","protein_coding"
"94","ENSG00000169972","PUSL1","protein_coding"
"95","ENSG00000127054","INTS11","protein_coding"
"98","ENSG00000224051","CPTP","protein_coding"
"99","ENSG00000169962","TAS1R3","protein_coding"
"100","ENSG00000107404","DVL1","protein_coding"
"102","ENSG00000162576","MXRA8","protein_coding"
"103","ENSG00000175756","AURKAIP1","protein_coding"
"105","ENSG00000221978","CCNL2","protein_coding"
"107","ENSG00000242485","MRPL20","protein_coding"
"110","ENSG00000235098","ANKRD65","protein_coding"
"112","ENSG00000205116","TMEM88B","protein_coding"
"114","ENSG00000179403","VWA1","protein_coding"
"115","ENSG00000215915","ATAD3C","protein_coding"
"116","ENSG00000160072","ATAD3B","protein_coding"
"118","ENSG00000197785","ATAD3A","protein_coding"
"119","ENSG00000205090","TMEM240","protein_coding"
"120","ENSG00000160075","SSU72","protein_coding"
"123","ENSG00000228594","C1orf233","protein_coding"
"125","ENSG00000197530","MIB2","protein_coding"
"126","ENSG00000189409","MMP23B","protein_coding"
"127","ENSG00000248333","CDK11B","protein_coding"
"129","ENSG00000189339","SLC35E2B","protein_coding"
"132","ENSG00000008128","CDK11A","protein_coding"
"135","ENSG00000215790","SLC35E2","protein_coding"
"136","ENSG00000008130","NADK","protein_coding"
"137","ENSG00000078369","GNB1","protein_coding"
"139","ENSG00000169885","CALML6","protein_coding"
"140","ENSG00000178821","TMEM52","protein_coding"
"141","ENSG00000142609","CFAP74","protein_coding"
"143","ENSG00000187730","GABRD","protein_coding"
"145","ENSG00000067606","PRKCZ","protein_coding"
"148","ENSG00000162585","FAAP20","protein_coding"
"150","ENSG00000157933","SKI","protein_coding"
"151","ENSG00000116151","MORN1","protein_coding"
"155","ENSG00000157916","RER1","protein_coding"
"156","ENSG00000157911","PEX10","protein_coding"
"157","ENSG00000149527","PLCH2","protein_coding"
"160","ENSG00000157881","PANK4","protein_coding"
"161","ENSG00000197921","HES5","protein_coding"
"164","ENSG00000157873","TNFRSF14","protein_coding"
"167","ENSG00000157870","FAM213B","protein_coding"
"168","ENSG00000142606","MMEL1","protein_coding"
"170","ENSG00000215912","TTC34","protein_coding"
"175","ENSG00000169717","ACTRT2","protein_coding"
"177","ENSG00000142611","PRDM16","protein_coding"
"182","ENSG00000130762","ARHGEF16","protein_coding"
"184","ENSG00000162591","MEGF6","protein_coding"
"187","ENSG00000158109","TPRG1L","protein_coding"
"188","ENSG00000116213","WRAP73","protein_coding"
"189","ENSG00000078900","TP73","protein_coding"
"194","ENSG00000162592","CCDC27","protein_coding"
"195","ENSG00000235169","SMIM1","protein_coding"
"196","ENSG00000130764","LRRC47","protein_coding"
"199","ENSG00000116198","CEP104","protein_coding"
"200","ENSG00000169598","DFFB","protein_coding"
"201","ENSG00000198912","C1orf174","protein_coding"
"212","ENSG00000196581","AJAP1","protein_coding"
"224","ENSG00000131697","NPHP4","protein_coding"
"225","ENSG00000069424","KCNAB2","protein_coding"
"226","ENSG00000116254","CHD5","protein_coding"
"227","ENSG00000116251","RPL22","protein_coding"
"229","ENSG00000158286","RNF207","protein_coding"
"230","ENSG00000116237","ICMT","protein_coding"
