"","Ensembl_ID","Symbol","Biotype"
"3","ENSG00000278267","MIR6859-1","miRNA"
"5","ENSG00000284332","MIR1302-2","miRNA"
"21","ENSG00000273874","MIR6859-2","miRNA"
"36","ENSG00000278791","MIR6723","miRNA"
"77","ENSG00000207730","MIR200B","miRNA"
"78","ENSG00000207607","MIR200A","miRNA"
"79","ENSG00000198976","MIR429","miRNA"
"93","ENSG00000278073","MIR6726","miRNA"
"96","ENSG00000283712","MIR6727","miRNA"
"101","ENSG00000284372","MIR6808","miRNA"
"178","ENSG00000283572","MIR4251","miRNA"
"185","ENSG00000207776","MIR551A","miRNA"
"222","ENSG00000264341","MIR4417","miRNA"
"223","ENSG00000264101","MIR4689","miRNA"
"238","ENSG00000265392","MIR4252","miRNA"
"296","ENSG00000274258","MIR6728","miRNA"
"309","ENSG00000284357","MIR34A","miRNA"
"334","ENSG00000265521","MIR5697","miRNA"
"342","ENSG00000264881","MIR1273D","miRNA"
"407","ENSG00000276869","MIR6729","miRNA"
"412","ENSG00000283789","MIR7846","miRNA"
"414","ENSG00000263676","MIR4632","miRNA"
"422","ENSG00000276830","MIR6730","miRNA"
"568","ENSG00000263811","MIR3675","miRNA"
"584","ENSG00000266634","MIR3972","miRNA"
"605","ENSG00000265606","MIR4695","miRNA"
"606","ENSG00000221662","MIR1290","miRNA"
"656","ENSG00000284005","MIR6084","miRNA"
"666","ENSG00000221808","MIR1256","miRNA"
"703","ENSG00000266564","MIR4418","miRNA"
"709","ENSG00000276835","MIR6127","miRNA"
"714","ENSG00000265422","MIR4684","miRNA"
"716","ENSG00000264014","MIR4253","miRNA"
"721","ENSG00000263793","MIR3115","miRNA"
"722","ENSG00000266802","MIR4419A","miRNA"
"755","ENSG00000264926","MIR378F","miRNA"
"780","ENSG00000278034","MIR6731","miRNA"
"783","ENSG00000264371","MIR4425","miRNA"
"816","ENSG00000283938","MIR3917","miRNA"
"849","ENSG00000238705","MIR1976","miRNA"
"983","ENSG00000264773","MIR4420","miRNA"
"1015","ENSG00000266580","MIR4254","miRNA"
"1026","ENSG00000266203","MIR5585","miRNA"
"1083","ENSG00000284154","MIR3605","miRNA"
"1096","ENSG00000207941","MIR552","miRNA"
"1162","ENSG00000264698","MIR4255","miRNA"
"1169","ENSG00000283724","MIR6732","miRNA"
"1171","ENSG00000263675","MIR5581","miRNA"
"1203","ENSG00000265596","MIR3659","miRNA"
"1284","ENSG00000198974","MIR30E","miRNA"
"1285","ENSG00000207962","MIR30C1","miRNA"
"1347","ENSG00000284410","MIR6733","miRNA"
"1357","ENSG00000283836","MIR6734","miRNA"
"1362","ENSG00000274975","MIR6735","miRNA"
"1373","ENSG00000283477","MIR6079","miRNA"
"1400","ENSG00000263381","MIR5584","miRNA"
"1557","ENSG00000265538","MIR4421","miRNA"
"1558","ENSG00000275816","MIR6500","miRNA"
"1582","ENSG00000283899","MIR761","miRNA"
"1624","ENSG00000264834","MIR1273F","miRNA"
"1625","ENSG00000266188","MIR5095","miRNA"
"1626","ENSG00000265815","MIR1273G","miRNA"
"1666","ENSG00000283749","MIR4781","miRNA"
"1702","ENSG00000265822","MIR4422","miRNA"
"1755","ENSG00000266150","MIR4711","miRNA"
"1778","ENSG00000263908","MIR3116-1","miRNA"
"1779","ENSG00000283690","MIR3116-2","miRNA"
"1807","ENSG00000275836","MIR6068","miRNA"
"1834","ENSG00000264470","MIR4794","miRNA"
"1843","ENSG00000265996","MIR3671","miRNA"
"1844","ENSG00000199135","MIR101-1","miRNA"
"1864","ENSG00000264720","MIR3117","miRNA"
"1896","ENSG00000221203","MIR1262","miRNA"
"1936","ENSG00000207721","MIR186","miRNA"
"1996","ENSG00000276081","MIR7156","miRNA"
"2098","ENSG00000266110","MIR4423","miRNA"
"2119","ENSG00000278281","MIR7856","miRNA"
"2252","ENSG00000211575","MIR760","miRNA"
"2278","ENSG00000263526","MIR378G","miRNA"
"2318","ENSG00000284247","MIR2682","miRNA"
"2319","ENSG00000284202","MIR137","miRNA"
"2354","ENSG00000207750","MIR553","miRNA"
"2423","ENSG00000275455","MIR7852","miRNA"
"2479","ENSG00000284443","MIR197","miRNA"
"2579","ENSG00000283296","MIR4256","miRNA"
"2673","ENSG00000264419","MIR548AC","miRNA"
"2675","ENSG00000211543","MIR320B1","miRNA"
"2687","ENSG00000215930","MIR942","miRNA"
"2871","ENSG00000278549","MIR6736","miRNA"
"2957","ENSG00000283676","MIR5087","miRNA"
"2962","ENSG00000278596","MIR6077","miRNA"
"3039","ENSG00000283933","MIR6878","miRNA"
"3044","ENSG00000264553","MIR4257","miRNA"
"3103","ENSG00000207606","MIR554","miRNA"
"3223","ENSG00000274940","MIR8083","miRNA"
"3240","ENSG00000276584","MIR6737","miRNA"
"3252","ENSG00000263987","MIR5698","miRNA"
"3255","ENSG00000215938","MIR190B","miRNA"
"3290","ENSG00000264349","MIR4258","miRNA"
"3311","ENSG00000284586","MIR92B","miRNA"
"3327","ENSG00000283701","MIR555","miRNA"
"3354","ENSG00000277817","MIR6738","miRNA"
"3379","ENSG00000207933","MIR9-1","miRNA"
"3409","ENSG00000211581","MIR765","miRNA"
"3510","ENSG00000266458","MIR4259","miRNA"
"3582","ENSG00000284035","MIR5187","miRNA"
"3619","ENSG00000266144","MIR4654","miRNA"
"3622","ENSG00000207729","MIR556","miRNA"
"3684","ENSG00000283936","MIR3658","miRNA"
"3691","ENSG00000215952","MIR921","miRNA"
"3731","ENSG00000221545","MIR1255B2","miRNA"
"3742","ENSG00000207974","MIR557","miRNA"
"3781","ENSG00000283340","MIR3119-1","miRNA"
"3782","ENSG00000263390","MIR3119-2","miRNA"
"3796","ENSG00000221390","MIR1295A","miRNA"
"3797","ENSG00000283598","MIR1295B","miRNA"
"3826","ENSG00000283844","MIR214","miRNA"
"3827","ENSG00000283152","MIR3120","miRNA"
"3828","ENSG00000208024","MIR199A2","miRNA"
"3906","ENSG00000202609","MIR488","miRNA"
"3925","ENSG00000266417","MIR4424","miRNA"
"3971","ENSG00000265435","MIR3121","miRNA"
"4132","ENSG00000283795","MIR4426","miRNA"
"4143","ENSG00000221680","MIR1278","miRNA"
"4157","ENSG00000265986","MIR4735","miRNA"
"4190","ENSG00000207975","MIR181B1","miRNA"
"4191","ENSG00000207759","MIR181A1","miRNA"
"4246","ENSG00000264802","MIR5191","miRNA"
"4249","ENSG00000221028","MIR1231","miRNA"
"4251","ENSG00000277681","MIR6739","miRNA"
"4261","ENSG00000275207","MIR6740","miRNA"
"4373","ENSG00000199059","MIR135B","miRNA"
"4403","ENSG00000278465","MIR6769B","miRNA"
"4449","ENSG00000284214","MIR29C","miRNA"
"4450","ENSG00000284203","MIR29B2","miRNA"
"4468","ENSG00000284485","MIR205","miRNA"
"4472","ENSG00000283876","MIR4260","miRNA"
"4522","ENSG00000264358","MIR3122","miRNA"
"4617","ENSG00000207590","MIR215","miRNA"
"4618","ENSG00000207624","MIR194-1","miRNA"
"4621","ENSG00000281696","MIR664A","miRNA"
"4704","ENSG00000221406","MIR320B2","miRNA"
"4709","ENSG00000266618","MIR4742","miRNA"
"4732","ENSG00000284519","MIR6741","miRNA"
"4784","ENSG00000264483","MIR5008","miRNA"
"4790","ENSG00000284163","MIR3620","miRNA"
"4808","ENSG00000284311","MIR6742","miRNA"
"4815","ENSG00000266174","MIR4666A","miRNA"
"4892","ENSG00000283799","MIR1182","miRNA"
"4930","ENSG00000265744","MIR4427","miRNA"
"4938","ENSG00000264377","MIR4671","miRNA"
"4970","ENSG00000263439","MIR4753","miRNA"
"4993","ENSG00000222831","MIR1537","miRNA"
"5018","ENSG00000266262","MIR4428","miRNA"
"5068","ENSG00000265831","MIR3123","miRNA"
"5107","ENSG00000265201","MIR4677","miRNA"
"5184","ENSG00000283881","MIR3916","miRNA"
"5271","ENSG00000264500","MIR3124","miRNA"
"5360","ENSG00000276733","MIR7158","miRNA"
"5366","ENSG00000283394","MIR7515","miRNA"
"5432","ENSG00000265418","MIR4261","miRNA"
"5468","ENSG00000264010","MIR4429","miRNA"
"5479","ENSG00000265056","MIR548S","miRNA"
"5480","ENSG00000265172","MIR4262","miRNA"
"5483","ENSG00000264089","MIR3681","miRNA"
"5488","ENSG00000264370","MIR3125","miRNA"
"5546","ENSG00000266738","MIR4757","miRNA"
"5653","ENSG00000221445","MIR1301","miRNA"
"5743","ENSG00000265321","MIR4263","miRNA"
"5817","ENSG00000207653","MIR558","miRNA"
"5822","ENSG00000265057","MIR4765","miRNA"
"5830","ENSG00000283591","MIR4430","miRNA"
"5848","ENSG00000265301","MIR548AD","miRNA"
"6045","ENSG00000207923","MIR559","miRNA"
"6078","ENSG00000212036","MIR548BA","miRNA"
"6087","ENSG00000216191","MIR8485","miRNA"
"6101","ENSG00000264975","MIR4431","miRNA"
"6112","ENSG00000265452","MIR3682","miRNA"
"6155","ENSG00000207548","MIR217","miRNA"
"6156","ENSG00000207798","MIR216A","miRNA"
"6157","ENSG00000211520","MIR216B","miRNA"
"6185","ENSG00000266078","MIR4432","miRNA"
"6235","ENSG00000266097","MIR5192","miRNA"
"6275","ENSG00000264297","MIR4433B","miRNA"
"6276","ENSG00000283222","MIR4433A","miRNA"
"6284","ENSG00000283204","MIR4434","miRNA"
"6319","ENSG00000264525","MIR4778","miRNA"
"6364","ENSG00000266649","MIR3126","miRNA"
"6392","ENSG00000221238","MIR1285-2","miRNA"
"6526","ENSG00000263909","MIR5000","miRNA"
"6571","ENSG00000266436","MIR4264","miRNA"
"6572","ENSG00000276917","MIR8080","miRNA"
"6650","ENSG00000278783","MIR6071","miRNA"
"6661","ENSG00000265420","MIR4779","miRNA"
"6686","ENSG00000264793","MIR4771-1","miRNA"
"6697","ENSG00000265507","MIR4435-1","miRNA"
"6709","ENSG00000265003","MIR4780","miRNA"
"6726","ENSG00000265510","MIR4436A","miRNA"
"6933","ENSG00000264157","MIR3127","miRNA"
"7034","ENSG00000264857","MIR5696","miRNA"
"7052","ENSG00000264764","MIR4772","miRNA"
"7166","ENSG00000264934","MIR4265","miRNA"
"7168","ENSG00000265965","MIR4266","miRNA"
"7189","ENSG00000265682","MIR4267","miRNA"
"7191","ENSG00000264979","MIR4436B1","miRNA"
"7198","ENSG00000263881","MIR4436B2","miRNA"
"7227","ENSG00000266139","MIR4435-2","miRNA"
"7240","ENSG00000266063","MIR4771-2","miRNA"
"7295","ENSG00000221055","MIR1302-3","miRNA"
"7307","ENSG00000265429","MIR4782","miRNA"
"7435","ENSG00000264075","MIR4783","miRNA"
"7584","ENSG00000284149","MIR4784","miRNA"
"7609","ENSG00000221288","MIR663B","miRNA"
"7632","ENSG00000263813","MIR3679","miRNA"
"7640","ENSG00000263783","MIR5590","miRNA"
"7649","ENSG00000207654","MIR128-1","miRNA"
"7697","ENSG00000283506","MIR7157","miRNA"
"7802","ENSG00000283569","MIR4773-2","miRNA"
"7803","ENSG00000264684","MIR4773-1","miRNA"
"7891","ENSG00000275141","MIR6888","miRNA"
"7911","ENSG00000283734","MIR4785","miRNA"
"7990","ENSG00000265694","MIR4774","miRNA"
"8109","ENSG00000215973","MIR933","miRNA"
"8128","ENSG00000207744","MIR10B","miRNA"
"8135","ENSG00000283880","MIR7704","miRNA"
"8143","ENSG00000283203","MIR1246","miRNA"
"8161","ENSG00000284252","MIR4444-1","miRNA"
"8164","ENSG00000265396","MIR3128","miRNA"
"8169","ENSG00000278418","MIR6512","miRNA"
"8213","ENSG00000221240","MIR1258","miRNA"
"8227","ENSG00000266705","MIR4437","miRNA"
"8259","ENSG00000266808","MIR548AE1","miRNA"
"8292","ENSG00000207951","MIR561","miRNA"
"8296","ENSG00000221502","MIR1245A","miRNA"
"8297","ENSG00000283238","MIR1245B","miRNA"
"8298","ENSG00000284180","MIR3606","miRNA"
"8301","ENSG00000264725","MIR3129","miRNA"
"8598","ENSG00000283469","MIR3130-1","miRNA"
"8599","ENSG00000263468","MIR3130-2","miRNA"
"8604","ENSG00000253008","MIR2355","miRNA"
"8606","ENSG00000277590","MIR7845","miRNA"
"8614","ENSG00000221628","MIR1302-4","miRNA"
"8624","ENSG00000284079","MIR4775","miRNA"
"8678","ENSG00000221782","MIR548F2","miRNA"
"8683","ENSG00000283637","MIR4776-2","miRNA"
"8684","ENSG00000266354","MIR4776-1","miRNA"
"8691","ENSG00000265734","MIR4438","miRNA"
"8758","ENSG00000275458","MIR6809","miRNA"
"8771","ENSG00000284173","MIR6513","miRNA"
"8773","ENSG00000278524","MIR6810","miRNA"
"8780","ENSG00000199121","MIR26B","miRNA"
"8796","ENSG00000283639","MIR9500","miRNA"
"8808","ENSG00000198973","MIR375","miRNA"
"8812","ENSG00000264755","MIR3131","miRNA"
"8831","ENSG00000207647","MIR153-1","miRNA"
"8848","ENSG00000265252","MIR3132","miRNA"
"8861","ENSG00000266518","MIR4268","miRNA"
"8915","ENSG00000263828","MIR4439","miRNA"
"8922","ENSG00000263363","MIR5702","miRNA"
"8934","ENSG00000284092","MIR5703","miRNA"
"9007","ENSG00000263641","MIR4777","miRNA"
"9028","ENSG00000284378","MIR1244-1","miRNA"
"9035","ENSG00000222246","MIR1471","miRNA"
"9039","ENSG00000207626","MIR562","miRNA"
"9057","ENSG00000284407","MIR5001","miRNA"
"9150","ENSG00000277842","MIR6811","miRNA"
"9187","ENSG00000266109","MIR4440","miRNA"
"9188","ENSG00000264810","MIR4441","miRNA"
"9189","ENSG00000265215","MIR4269","miRNA"
"9190","ENSG00000264292","MIR2467","miRNA"
"9197","ENSG00000264279","MIR4786","miRNA"
"9208","ENSG00000207611","MIR149","miRNA"
"9238","ENSG00000263752","MIR3133","miRNA"
"9321","ENSG00000265180","MIR4790","miRNA"
"9401","ENSG00000264534","MIR378B","miRNA"
"9402","ENSG00000216135","MIR885","miRNA"
"9500","ENSG00000263573","MIR4270","miRNA"
"9505","ENSG00000264354","MIR3134","miRNA"
"9509","ENSG00000207815","MIR563","miRNA"
"9525","ENSG00000283885","MIR3714","miRNA"
"9542","ENSG00000271898","MIR4791","miRNA"
"9551","ENSG00000266745","MIR3135A","miRNA"
"9587","ENSG00000265028","MIR4792","miRNA"
"9599","ENSG00000283971","MIR4442","miRNA"
"9651","ENSG00000265376","MIR466","miRNA"
"9674","ENSG00000276147","MIR548AY","miRNA"
"9715","ENSG00000207625","MIR128-2","miRNA"
"9752","ENSG00000199075","MIR26A1","miRNA"
"9782","ENSG00000284158","MIR6822","miRNA"
"9884","ENSG00000207954","MIR138-1","miRNA"
"9910","ENSG00000284498","MIR564","miRNA"
"9991","ENSG00000221585","MIR1226","miRNA"
"10002","ENSG00000265483","MIR4443","miRNA"
"10010","ENSG00000252466","MIR2115","miRNA"
"10021","ENSG00000278799","MIR6823","miRNA"
"10024","ENSG00000284251","MIR711","miRNA"
"10028","ENSG00000284364","MIR6824","miRNA"
"10030","ENSG00000284575","MIR4793","miRNA"
"10047","ENSG00000199032","MIR425","miRNA"
"10049","ENSG00000207605","MIR191","miRNA"
"10055","ENSG00000284488","MIR6890","miRNA"
"10067","ENSG00000264633","MIR4271","miRNA"
"10093","ENSG00000283726","MIR5193","miRNA"
"10107","ENSG00000207922","MIR566","miRNA"
"10111","ENSG00000275334","MIR5787","miRNA"
"10116","ENSG00000283848","MIR6872","miRNA"
"10141","ENSG00000272543","MIR4787","miRNA"
"10185","ENSG00000199150","MIRLET7G","miRNA"
"10188","ENSG00000207926","MIR135A1","miRNA"
"10223","ENSG00000275789","MIR8064","miRNA"
"10262","ENSG00000264013","MIR3938","miRNA"
