"","Ensembl_ID","Symbol"
"1","MI0022705","hsa-mir-6859-1"
"2","MIMAT0027618","hsa-miR-6859-5p"
"3","MIMAT0027619","hsa-miR-6859-3p"
"4","MI0006363","hsa-mir-1302-2"
"5","MIMAT0005890","hsa-miR-1302"
"6","MI0026420","hsa-mir-6859-2"
"7","MIMAT0027618_1","hsa-miR-6859-5p"
"8","MIMAT0027619_1","hsa-miR-6859-3p"
"9","MI0039740","hsa-mir-12136"
"10","MIMAT0049032","hsa-miR-12136"
"11","MI0000342","hsa-mir-200b"
"12","MIMAT0004571","hsa-miR-200b-5p"
"13","MIMAT0000318","hsa-miR-200b-3p"
"14","MI0000737","hsa-mir-200a"
"15","MIMAT0001620","hsa-miR-200a-5p"
"16","MIMAT0000682","hsa-miR-200a-3p"
"17","MI0001641","hsa-mir-429"
"18","MIMAT0001536","hsa-miR-429"
"19","MI0022571","hsa-mir-6726"
"20","MIMAT0027353","hsa-miR-6726-5p"
"21","MIMAT0027354","hsa-miR-6726-3p"
"22","MI0022572","hsa-mir-6727"
"23","MIMAT0027355","hsa-miR-6727-5p"
"24","MIMAT0027356","hsa-miR-6727-3p"
"25","MI0022653","hsa-mir-6808"
"26","MIMAT0027516","hsa-miR-6808-5p"
"27","MIMAT0027517","hsa-miR-6808-3p"
"28","MI0015861","hsa-mir-4251"
"29","MIMAT0016883","hsa-miR-4251"
"30","MI0003556","hsa-mir-551a"
"31","MIMAT0003214","hsa-miR-551a"
"32","MI0017322","hsa-mir-4689"
"33","MIMAT0019778","hsa-miR-4689"
"34","MI0015864","hsa-mir-4252"
"35","MIMAT0016886","hsa-miR-4252"
"36","MI0022573","hsa-mir-6728"
"37","MIMAT0027357","hsa-miR-6728-5p"
"38","MIMAT0027358","hsa-miR-6728-3p"
"39","MI0000268","hsa-mir-34a"
"40","MIMAT0000255","hsa-miR-34a-5p"
"41","MIMAT0004557","hsa-miR-34a-3p"
"42","MI0019304","hsa-mir-5697"
"43","MIMAT0022490","hsa-miR-5697"
"44","MI0022574","hsa-mir-6729"
"45","MIMAT0027359","hsa-miR-6729-5p"
"46","MIMAT0027360","hsa-miR-6729-3p"
"47","MI0025516","hsa-mir-7846"
"48","MIMAT0030421","hsa-miR-7846-3p"
"49","MI0017259","hsa-mir-4632"
"50","MIMAT0019688","hsa-miR-4632-3p"
"51","MIMAT0022977","hsa-miR-4632-5p"
"52","MI0022575","hsa-mir-6730"
"53","MIMAT0027361","hsa-miR-6730-5p"
"54","MIMAT0027362","hsa-miR-6730-3p"
"55","MI0016076","hsa-mir-3675"
"56","MIMAT0018098","hsa-miR-3675-5p"
"57","MIMAT0018099","hsa-miR-3675-3p"
"58","MI0016990","hsa-mir-3972"
"59","MIMAT0019357","hsa-miR-3972"
"60","MI0017328","hsa-mir-4695"
"61","MIMAT0019788","hsa-miR-4695-5p"
"62","MIMAT0019789","hsa-miR-4695-3p"
"63","MI0006352","hsa-mir-1290"
"64","MIMAT0005880","hsa-miR-1290"
"65","MI0020361","hsa-mir-6084"
"66","MIMAT0023709","hsa-miR-6084"
"67","MI0006390","hsa-mir-1256"
"68","MIMAT0005907","hsa-miR-1256"
"69","MI0016754","hsa-mir-4418"
"70","MIMAT0018930","hsa-miR-4418"
"71","MI0021271","hsa-mir-6127"
"72","MIMAT0024610","hsa-miR-6127"
"73","MI0017316","hsa-mir-4684"
"74","MIMAT0019769","hsa-miR-4684-5p"
"75","MIMAT0019770","hsa-miR-4684-3p"
"76","MI0015860","hsa-mir-4253"
"77","MIMAT0016882","hsa-miR-4253"
"78","MI0014127","hsa-mir-3115"
"79","MIMAT0014977","hsa-miR-3115"
"80","MI0016756","hsa-mir-378f"
"81","MIMAT0018932","hsa-miR-378f"
"82","MI0022576","hsa-mir-6731"
"83","MIMAT0027363","hsa-miR-6731-5p"
"84","MIMAT0027364","hsa-miR-6731-3p"
"85","MI0016764","hsa-mir-4425"
"86","MIMAT0018940","hsa-miR-4425"
"87","MI0016423","hsa-mir-3917"
"88","MIMAT0018191","hsa-miR-3917"
"89","MI0009986","hsa-mir-1976"
"90","MIMAT0009451","hsa-miR-1976"
"91","MI0016757","hsa-mir-4420"
"92","MIMAT0018933","hsa-miR-4420"
"93","MI0015862","hsa-mir-4254"
"94","MIMAT0016884","hsa-miR-4254"
"95","MI0019142","hsa-mir-5585"
"96","MIMAT0022285","hsa-miR-5585-5p"
"97","MIMAT0022286","hsa-miR-5585-3p"
"98","MI0015995","hsa-mir-3605"
"99","MIMAT0017981","hsa-miR-3605-5p"
"100","MIMAT0017982","hsa-miR-3605-3p"
"101","MI0003557","hsa-mir-552"
"102","MIMAT0003215","hsa-miR-552-3p"
"103","MIMAT0026615","hsa-miR-552-5p"
"104","MI0015863","hsa-mir-4255"
"105","MIMAT0016885","hsa-miR-4255"
"106","MI0022577","hsa-mir-6732"
"107","MIMAT0027365","hsa-miR-6732-5p"
"108","MIMAT0027366","hsa-miR-6732-3p"
"109","MI0019136","hsa-mir-5581"
"110","MIMAT0022275","hsa-miR-5581-5p"
"111","MIMAT0022276","hsa-miR-5581-3p"
"112","MI0016060","hsa-mir-3659"
"113","MIMAT0018080","hsa-miR-3659"
"114","MI0000749","hsa-mir-30e"
"115","MIMAT0000692","hsa-miR-30e-5p"
"116","MIMAT0000693","hsa-miR-30e-3p"
"117","MI0000736","hsa-mir-30c-1"
"118","MIMAT0000244","hsa-miR-30c-5p"
"119","MIMAT0004674","hsa-miR-30c-1-3p"
"120","MI0022578","hsa-mir-6733"
"121","MIMAT0027367","hsa-miR-6733-5p"
"122","MIMAT0027368","hsa-miR-6733-3p"
"123","MI0022579","hsa-mir-6734"
"124","MIMAT0027369","hsa-miR-6734-5p"
"125","MIMAT0027370","hsa-miR-6734-3p"
"126","MI0022580","hsa-mir-6735"
"127","MIMAT0027371","hsa-miR-6735-5p"
"128","MIMAT0027372","hsa-miR-6735-3p"
"129","MI0020356","hsa-mir-6079"
"130","MIMAT0023704","hsa-miR-6079"
"131","MI0019141","hsa-mir-5584"
"132","MIMAT0022283","hsa-miR-5584-5p"
"133","MIMAT0022284","hsa-miR-5584-3p"
"134","MI0016758","hsa-mir-4421"
"135","MIMAT0018934","hsa-miR-4421"
"136","MI0022211","hsa-mir-6500"
"137","MIMAT0025454","hsa-miR-6500-5p"
"138","MIMAT0025455","hsa-miR-6500-3p"
"139","MI0003941","hsa-mir-761"
"140","MIMAT0010364","hsa-miR-761"
"141","MI0017426","hsa-mir-4781"
"142","MIMAT0019942","hsa-miR-4781-5p"
